measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,metric_id,metric_name,year,val,upper,lower
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,2014,723669.0541991876,745508.3528239158,703180.5827669323
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,2015,742801.5270617944,765524.4927020655,721453.6261643984
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,2016,765051.8944145152,788882.5119834831,742351.2137905387
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,2017,793731.2931425162,819577.6948557559,769582.6490315858
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,2018,828108.4915259745,854731.7945821368,802522.385854745
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,2019,865528.3056845369,894919.847507424,837751.8874350882
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,2020,898695.9433902624,930522.0076525536,867949.0600138222
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,2021,922087.7733635636,956635.1294693387,890499.6225963484
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,2022,952041.872914833,988379.4879937201,917849.4588127427
44,Population,44637,Low SDI,3,Both,32,90-94 years,1,Number,2023,997617.0607588041,1038340.6790831067,958864.1562706822
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,1990,491660692.8391782,509787470.87673926,475826426.4539507
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,1991,492931280.74566746,512307551.03915966,475608689.56396353
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,1992,493522988.21426535,513696796.7872174,475639263.4088818
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,1993,493254428.89290804,514319404.4075611,474306597.0448707
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,1994,492524630.43597376,514884443.10782814,472410495.39177907
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,1995,492040163.77737343,515158129.37336516,471153246.15392274
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,1996,492256159.59349406,515334396.25408137,471511525.8965808
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,1997,492567822.09455264,513700102.9289552,472211246.85062194
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,1998,492785035.21437424,512487998.42529196,474404461.64570355
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,1999,492786781.59035105,510759886.9283128,475763612.91257423
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,2000,492497174.03390926,509278338.90511554,476439390.0989156
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,2001,492095370.0128509,509230439.3176686,476285698.5175272
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,2002,491475006.18123907,510299342.26446086,474191822.8704133
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,2003,490105286.0640884,509626548.74373627,471642414.9251882
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,2004,487796850.53602654,508016665.81748706,467349241.1336617
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,2005,484773870.8881246,507091549.7586279,463341861.6522412
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,2006,481138020.5762595,502688533.1432355,459601408.66889447
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,2007,477142479.24573535,497385732.8259315,457576615.9214516
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,2008,473159264.62285376,491263592.9231625,455570719.6320296
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,2009,470024742.9207234,486558305.75746065,453645301.7511872
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,2010,467250326.1864846,482461414.7350809,451885875.96613765
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,2011,464217998.95288646,480069611.5944267,449042536.58639616
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,2012,462393455.9730617,479751095.3086048,445655331.4940777
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,2013,462200811.3663693,480390384.9364693,444237981.92984194
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,2014,462816053.2277374,482166579.7598135,443139410.7770393
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,2015,464290110.1906018,485199904.7502335,443350210.66980577
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,2016,466541250.5730272,487371394.90400034,445096176.1258879
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,2017,468961516.4805316,490613670.0146302,447985552.7580248
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,2018,470903621.7368625,491370631.2314307,450025942.3301641
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,2019,472229670.80393577,492999885.8802302,451287507.9806621
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,2020,472394478.7753379,493335214.5956923,450973607.7917328
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,2021,470822023.4018905,493848617.56550336,448318761.7628755
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,2022,467992973.73934686,492536176.09025514,444184271.501978
44,Population,44634,High-middle SDI,3,Both,158,<20 years,1,Number,2023,464766690.3972972,489141201.4006597,438487621.82817644
44,Population,44634,High-middle SDI,3,Both,159,10-24 years,1,Number,1990,362696228.2659398,377068553.8901317,350382766.3157903
